,channels,delta_m,theta_m,alpha_m,beta_m,gamma_m,delta_std,theta_std,alpha_std,beta_std,gamma_std
0,AF3,"0   -0.174963
dtype: float64","0   -0.666034
dtype: float64","0   -0.349739
dtype: float64","0   -0.797913
dtype: float64","0    0.518528
dtype: float64",0.280110730273665,-0.7872643795350919,-0.3601975670919108,-0.7701899925541151,0.35133679550169544
1,AF4,"0   -0.853815
dtype: float64","0   -0.563908
dtype: float64","0   -0.383904
dtype: float64","0   -0.784744
dtype: float64","0    0.805069
dtype: float64",-0.8795454903115496,-0.7600471891137269,-0.38109333846483634,-0.7030123734399792,0.8462054337862602
2,F3,"0   -0.564645
dtype: float64","0   -0.779411
dtype: float64","0   -0.299564
dtype: float64","0   -0.84097
dtype: float64","0    0.33107
dtype: float64",-0.7909151039420738,-0.8642169483232219,-0.22749217273745587,-0.7741432845454916,0.4123836949959081
3,F4,"0   -0.640111
dtype: float64","0   -0.469469
dtype: float64","0   -0.399991
dtype: float64","0   -0.69445
dtype: float64","0    0.389791
dtype: float64",-0.639155253984602,-0.40178682180889586,-0.4396473022998287,-0.8792028414388565,0.35951572190438047
4,F7,"0   -0.085001
dtype: float64","0   -0.134532
dtype: float64","0   -0.037833
dtype: float64","0   -0.309758
dtype: float64","0    0.124748
dtype: float64",-0.13815588164088494,-0.03443274259898491,-0.13799719235195612,-0.5163930372781469,0.12362036720345329
5,F8,"0   -0.167339
dtype: float64","0   -0.665182
dtype: float64","0    0.202216
dtype: float64","0   -0.246776
dtype: float64","0    0.201361
dtype: float64",-0.18846758065749358,-0.9310915110479608,0.10468236093166394,-0.7739492133342807,0.07857630584980811
6,FC5,"0   -0.760305
dtype: float64","0   -0.70703
dtype: float64","0   -0.280557
dtype: float64","0   -0.232098
dtype: float64","0    0.530703
dtype: float64",-0.9622487483962442,-0.9466801148869154,-0.3822319380149792,-0.9235720258666742,0.1300808860776177
7,FC6,"0   -0.853176
dtype: float64","0   -0.627688
dtype: float64","0   -0.548743
dtype: float64","0   -0.447452
dtype: float64","0    0.604044
dtype: float64",-0.990920573122796,-0.7112576506595377,-0.6080447044538635,-0.8500156352805592,0.43174721081426476
8,O1,"0    0.906872
dtype: float64","0    0.481046
dtype: float64","0    0.404327
dtype: float64","0   -0.557269
dtype: float64","0   -0.062002
dtype: float64",0.8287062807809054,-0.07965990574919393,0.3100475988075318,-0.19464888997501736,-0.5660905564420322
9,O2,"0   -0.851056
dtype: float64","0   -0.434793
dtype: float64","0   -0.004646
dtype: float64","0   -0.016025
dtype: float64","0    0.47826
dtype: float64",-0.4402259004980772,0.08447125821231173,-0.28056302827872714,-0.4112322974536403,0.16063662395482245
10,P7,"0   -0.919369
dtype: float64","0   -0.744456
dtype: float64","0    0.013519
dtype: float64","0   -0.289924
dtype: float64","0    0.831568
dtype: float64",-0.6295117472196559,-0.6340397051710382,-0.29169756772673905,-0.8250229638733594,0.5550438064286605
11,P8,"0   -0.952237
dtype: float64","0   -0.355169
dtype: float64","0   -0.059639
dtype: float64","0   -0.211082
dtype: float64","0   -0.441942
dtype: float64",-0.3727338411586956,-0.5288444497484546,-0.24227016969988693,0.8660525285568749,-0.2647664906374053
12,T7,"0   -0.865097
dtype: float64","0   -0.84238
dtype: float64","0   -0.201864
dtype: float64","0   -0.950437
dtype: float64","0    0.736521
dtype: float64",-0.853295895980244,-0.9289832529946521,-0.08732670744125677,-0.9477120368055167,0.49174112563574734
13,T8,"0   -0.438571
dtype: float64","0   -0.622786
dtype: float64","0   -0.083182
dtype: float64","0   -0.824162
dtype: float64","0    0.434439
dtype: float64",0.1684055000689926,-0.6953273575547478,0.0921624632387224,-0.910270095999541,0.3960388823822081
